restaurant_id,name,cuisine,address,zipcode,inspection_grade,inspection_score,lat,lon,pluto_bbl,pluto_address,pluto_commercial_area_proxy,restaurant_count_in_bbl,raw_estimated_area_sqft,estimated_area_sqft,seat_density,capacity,turnover_rate,takeaway_ratio,eat_in_ratio,supply_index,effective_supply_index,match_distance_m,match_quality
50111559,DOUGH DOUGHNUTS,Donuts,"10 ROCKEFELLER PLZ, MANHATTAN, NY 10020",10020,Z,42.0,40.758097016789,-73.979165292282,1012640045.0,10 WEST 49 STREET,44867.0,1,13460.1,8000.0,0.083,664.0,3.0,0.8,0.19999999999999996,1992.0,398.3999999999999,50.77895676871394,acceptable
41223822,CHIRPING CHICKEN,Chicken,"355 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,A,10.0,40.781734888276,-73.979342023471,1011480061.0,355 AMSTERDAM AVENUE,3375.0,1,1687.5,1687.5,0.067,113.0625,2.0,0.5,0.5,226.125,113.0625,28.904193616993357,good
50125310,PREVITI PIZZA,Pizza,"344 E 34TH ST, MANHATTAN, NY 10016",10016,,35.0,40.744196612185,-73.974525052212,1009390044.0,328 EAST 34 STREET,2000.0,1,1600.0,1600.0,0.067,107.2,1.8,0.5,0.5,192.96,96.48,28.938830021935217,good
40885315,PATSY'S PIZZERIA,Pizza,"204 EAST   60 STREET, MANHATTAN, NY 10022",10022,A,11.0,40.761996838475,-73.965731893844,1014140045.0,1009 3 AVENUE,8800.0,3,1466.6666666666667,1466.6666666666667,0.067,98.26666666666668,1.8,0.5,0.5,176.88000000000002,88.44000000000001,14.112891650523624,good
50073861,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads","343 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,A,9.0,40.781347927802,-73.979620181908,1011480001.0,341 AMSTERDAM AVENUE,6200.0,1,3100.0,3100.0,0.083,257.3,3.0,0.8,0.19999999999999996,771.9000000000001,154.38,28.925952862343895,good
50171757,INDAY ROCKEFELLER,Indian,"1 ROCKEFELLER PLAZA, MANHATTAN, NY 10020",10020,N,66.0,40.757896671605,-73.97928808179,1012630051.0,22 WEST 48 STREET,80604.0,4,3022.65,3022.65,0.055,166.24575000000002,1.0,0.15,0.85,166.24575000000002,141.3088875,36.05399077519487,good
40367752,GRIFFIS FACULTY CLUB,American,"521 EAST   68 STREET, MANHATTAN, NY 10065",10065,A,11.0,40.764156112386,-73.955283592822,1014630021.0,437 EAST 68 STREET,733747.0,2,18343.675,8000.0,0.06,480.0,1.2,0.2,0.8,576.0,460.8,91.28951541196732,acceptable
41364268,LAVAGNA,Italian,"545 EAST    5 STREET, MANHATTAN, NY 10009",10009,,27.0,40.724408475977,-73.983321210016,1004000017.0,522 EAST 5 STREET,2043.6,1,1634.88,1634.88,0.055,89.9184,1.0,0.1,0.9,89.9184,80.92656000000001,23.039211463293917,good
50007666,BIBI WINE BAR,New American,"211 EAST    4 STREET, MANHATTAN, NY 10009",10009,A,13.0,40.723749775135,-73.983620818689,1004000052.0,211 EAST 4 STREET,800.0,1,640.0,640.0,0.05,32.0,0.8,0.05,0.95,25.6,24.32,23.302125238764106,good
50154496,NIGHTLY'S,American,"1496 2 AVENUE, MANHATTAN, NY 10075",10075,A,13.0,40.772549706788,-73.955613702549,1014320025.0,1491 2 AVENUE,2832.0,4,566.4,566.4,0.06,33.983999999999995,1.2,0.2,0.8,40.78079999999999,32.62463999999999,23.13310983480225,good
40564625,WAKAMBA,American,"543 8 AVENUE, MANHATTAN, NY 10018",10018,,,40.754253219151,-73.991969068086,1007610032.0,543 8 AVENUE,5753.0,3,958.8333333333334,958.8333333333334,0.06,57.53,1.2,0.2,0.8,69.036,55.22880000000001,25.281616196072594,good
40932950,HOTEL CARLYLE - EMPLOYEE CAFETERIA,American,"35 EAST   76 STREET, MANHATTAN, NY 10021",10021,A,10.0,40.77425965477,-73.963284863567,1013907501.0,971 MADISON AVENUE,16260.0,2,2439.0,2439.0,0.06,146.34,1.2,0.2,0.8,175.608,140.4864,17.050991174009205,good
50186471,PIZZA COFFEE SHOP MAMA VIOLA,Pizza,"3594 BROADWAY, MANHATTAN, NY 10031",10031,N,7.0,40.828150151162,-73.949180694828,1020947503.0,3595 BROADWAY,18324.0,3,1832.4,1832.4,0.067,122.77080000000001,1.8,0.5,0.5,220.98744000000002,110.49372000000001,34.0462470624212,good
50060293,AOC EAST,French,"1590 1 AVENUE, MANHATTAN, NY 10028",10028,A,8.0,40.774675000757,-73.950965542193,1015620047.0,1588 1 AVENUE,1200.0,1,960.0,960.0,0.05,48.0,0.8,0.05,0.95,38.400000000000006,36.480000000000004,25.65952352016501,good
50127777,MATTO ESPRESSO,Coffee/Tea,"1353 2 AVENUE, MANHATTAN, NY 10021",10021,A,8.0,40.768296500785,-73.95873934696,1014260021.0,1349 2 AVENUE,5116.0,2,1279.0,1279.0,0.083,106.15700000000001,3.0,0.7,0.30000000000000004,318.471,95.54130000000002,23.64057909540767,good
50152959,GONG CHA,Coffee/Tea,"42 MOTT STREET, MANHATTAN, NY 10013",10013,,27.0,40.715168049306,-73.998748272846,1001630014.0,36 PELL STREET,2135.0,2,854.0,854.0,0.083,70.882,3.0,0.7,0.30000000000000004,212.64600000000002,63.79380000000001,11.084207487893408,good
50080585,BLUESTONE LANE,Coffee/Tea,"400 MADISON AVENUE, MANHATTAN, NY 10017",10017,,,40.756257567292,-73.976765541216,1012830017.0,400 MADISON AVENUE,146191.0,1,7309.55,7309.55,0.083,606.6926500000001,3.0,0.7,0.30000000000000004,1820.0779500000003,546.0233850000002,19.278203646846773,good
50135850,CAVIAR KASPIA AT THE MARK,French,"992 MADISON AVE, MANHATTAN, NY 10075",10075,,18.0,40.775093976721,-73.963024442778,1013920017.0,992 MADISON AVENUE,15494.0,1,4648.2,4648.2,0.05,232.41,0.8,0.05,0.95,185.928,176.6316,32.41614585262516,good
