user_id,current_time,origin_lat,origin_lng,rank,restaurant_id,name,cuisine,address,estimated_travel_minutes,estimated_wait_minutes,total_user_time,current_utilization,idle_capacity_score,preference_match_score,promotion_bonus,active_promotion_id,final_score
1,2026-05-15 18:30:00,40.76741722139253,-73.93443571242311,1,50176894,THAI HOT BOX,Thai,"1598 3 AVENUE, MANHATTAN, NY 10128",7.148958441658883,0.0,7.148958441658883,0.002907329756105869,0.9970926702438941,1.0,0.0,,0.42786991719298906
1,2026-05-15 18:30:00,40.76741722139253,-73.93443571242311,2,50098846,THAI @ LEX,Thai,"1244 LEXINGTON AVENUE, MANHATTAN, NY 10028",7.375354238415843,0.0,7.375354238415843,0.0034120251416401397,0.9965879748583598,1.0,0.0,,0.42602436795927623
1,2026-05-15 18:30:00,40.76741722139253,-73.93443571242311,3,50072966,BANGKLYN EAST HARLEM,Thai,"2051 2 AVENUE, MANHATTAN, NY 10029",8.768967067590408,0.0,8.768967067590408,0.1471682587021995,0.8528317412978005,1.0,0.0,,0.37950143993784036
1,2026-05-15 18:30:00,40.76741722139253,-73.93443571242311,4,50082311,KATI SHOP,Thai,"162 EAST   55 STREET, MANHATTAN, NY 10022",10.245877636612814,0.0,10.245877636612814,0.13468084258914292,0.8653191574108571,1.0,0.0,,0.3714068150471533
1,2026-05-15 18:30:00,40.76741722139253,-73.93443571242311,5,50101251,THAI SUPER,Thai,"166 EAST  118 STREET, MANHATTAN, NY 10035",11.994894705215279,0.0,11.994894705215279,0.08254668557118525,0.9174533144288147,1.0,0.0,,0.3711573475371568
2,2026-05-15 18:30:00,40.83175890952606,-73.96612073642227,1,50186471,PIZZA COFFEE SHOP MAMA VIOLA,Pizza,"3594 BROADWAY, MANHATTAN, NY 10031",4.935596010740404,0.0,4.935596010740404,0.031257115781772496,0.9687428842182275,1.0,0.0,,0.4384937426518374
2,2026-05-15 18:30:00,40.83175890952606,-73.96612073642227,2,50005390,JUMBO PIZZA,Pizza,"3594 BROADWAY, MANHATTAN, NY 10031",4.935596010740404,0.0,4.935596010740404,0.031257115781772496,0.9687428842182275,1.0,0.0,,0.4384937426518374
2,2026-05-15 18:30:00,40.83175890952606,-73.96612073642227,3,50105926,PIZZERIA L'ANTICA,Pizza,"3789 BROADWAY, MANHATTAN, NY 10032",6.089695133132313,0.0,6.089695133132313,0.017241140635380608,0.9827588593646194,1.0,0.0,,0.4349740057412774
2,2026-05-15 18:30:00,40.83175890952606,-73.96612073642227,4,50134858,IPIZZANY,Pizza,"3801 BROADWAY, MANHATTAN, NY 10032",6.20247017382548,0.0,6.20247017382548,0.02544409590078627,0.9745559040992138,1.0,0.0,,0.4322369294173226
2,2026-05-15 18:30:00,40.83175890952606,-73.96612073642227,5,41716092,DOMINO'S,Pizza,"3624 BROADWAY, MANHATTAN, NY 10031",5.050917926164613,0.0,5.050917926164613,0.06109390822242124,0.9389060917775788,1.0,0.0,,0.4303327070116879
