exposure_id,promotion_id,user_id,restaurant_id,target_segment,exposed_at,channel,clicked,clicked_at,redeemed,redeemed_order_id
1,1,702,50150310,dormant_users,2026-05-12 14:00:00,email,False,,False,
2,1,374,50150310,dormant_users,2026-05-12 19:00:00,push,True,2026-05-12 19:45:00,False,
3,1,904,50150310,dormant_users,2026-05-12 20:00:00,push,False,,False,
4,1,156,50150310,dormant_users,2026-05-07 15:00:00,in_app,False,,False,
5,1,759,50150310,dormant_users,2026-05-09 14:00:00,push,False,,False,
6,1,531,50150310,dormant_users,2026-05-08 13:00:00,email,False,,False,
7,1,934,50150310,dormant_users,2026-05-06 13:00:00,push,False,,False,
8,1,562,50150310,dormant_users,2026-05-12 15:00:00,email,False,,False,
9,1,561,50150310,dormant_users,2026-05-12 19:00:00,push,False,,False,
10,1,852,50150310,dormant_users,2026-05-09 09:00:00,email,False,,False,
11,1,370,50150310,dormant_users,2026-05-08 20:00:00,in_app,False,,False,
12,1,721,50150310,dormant_users,2026-05-11 12:00:00,email,False,,False,
13,1,522,50150310,dormant_users,2026-05-11 12:00:00,push,True,2026-05-11 14:55:00,False,
14,1,17,50150310,dormant_users,2026-05-10 20:00:00,push,False,,False,
15,1,505,50150310,dormant_users,2026-05-06 20:00:00,email,True,2026-05-06 21:58:00,False,
16,1,964,50150310,dormant_users,2026-05-06 17:00:00,in_app,True,2026-05-06 17:28:00,False,
17,1,539,50150310,dormant_users,2026-05-09 12:00:00,email,False,,False,
18,1,395,50150310,dormant_users,2026-05-09 11:00:00,email,False,,False,
19,1,781,50150310,dormant_users,2026-05-08 16:00:00,email,False,,False,
20,1,689,50150310,dormant_users,2026-05-08 12:00:00,push,False,,False,
21,1,416,50150310,dormant_users,2026-05-11 09:00:00,push,False,,False,
22,1,556,50150310,dormant_users,2026-05-06 20:00:00,email,False,,False,
23,1,983,50150310,dormant_users,2026-05-11 09:00:00,push,True,2026-05-11 11:36:00,False,
24,1,248,50150310,dormant_users,2026-05-10 17:00:00,push,False,,False,
25,1,994,50150310,dormant_users,2026-05-07 18:00:00,push,False,,False,
26,1,581,50150310,dormant_users,2026-05-05 14:00:00,email,False,,False,
27,1,996,50150310,dormant_users,2026-05-05 17:00:00,push,False,,False,
28,1,400,50150310,dormant_users,2026-05-09 20:00:00,push,False,,False,
29,1,13,50150310,dormant_users,2026-05-05 13:00:00,push,False,,False,
30,1,474,50150310,dormant_users,2026-05-05 16:00:00,email,False,,False,
31,1,827,50150310,dormant_users,2026-05-11 09:00:00,email,False,,False,
32,1,794,50150310,dormant_users,2026-05-09 14:00:00,push,False,,False,
33,1,960,50150310,dormant_users,2026-05-06 15:00:00,in_app,False,,False,
34,1,832,50150310,dormant_users,2026-05-09 19:00:00,email,False,,False,
35,1,544,50150310,dormant_users,2026-05-05 14:00:00,email,False,,False,
36,1,728,50150310,dormant_users,2026-05-10 16:00:00,push,False,,False,
37,1,242,50150310,dormant_users,2026-05-10 09:00:00,email,False,,False,
38,1,462,50150310,dormant_users,2026-05-08 13:00:00,push,False,,False,
39,1,94,50150310,dormant_users,2026-05-05 10:00:00,push,False,,False,
40,1,71,50150310,dormant_users,2026-05-05 20:00:00,push,False,,False,
41,1,597,50150310,dormant_users,2026-05-07 10:00:00,push,False,,False,
42,1,511,50150310,dormant_users,2026-05-12 15:00:00,in_app,True,2026-05-12 16:22:00,False,
43,1,263,50150310,dormant_users,2026-05-05 09:00:00,email,False,,False,
44,1,604,50150310,dormant_users,2026-05-07 13:00:00,in_app,False,,False,
45,1,369,50150310,dormant_users,2026-05-07 16:00:00,push,False,,False,
46,1,129,50150310,dormant_users,2026-05-08 17:00:00,push,False,,False,
47,1,943,50150310,dormant_users,2026-05-07 11:00:00,push,False,,False,
48,1,533,50150310,dormant_users,2026-05-11 20:00:00,push,False,,False,
49,1,393,50150310,dormant_users,2026-05-07 15:00:00,push,True,2026-05-07 17:12:00,False,
50,1,401,50150310,dormant_users,2026-05-07 12:00:00,push,True,2026-05-07 12:17:00,False,
51,1,912,50150310,dormant_users,2026-05-10 09:00:00,push,False,,False,
52,1,908,50150310,dormant_users,2026-05-10 10:00:00,email,False,,False,
53,1,331,50150310,dormant_users,2026-05-07 09:00:00,email,False,,False,
54,1,858,50150310,dormant_users,2026-05-08 10:00:00,push,False,,False,
55,1,396,50150310,dormant_users,2026-05-08 14:00:00,push,False,,False,
56,1,990,50150310,dormant_users,2026-05-09 12:00:00,in_app,False,,False,
57,1,532,50150310,dormant_users,2026-05-05 15:00:00,in_app,False,,False,
58,1,627,50150310,dormant_users,2026-05-12 14:00:00,push,False,,False,
59,1,656,50150310,dormant_users,2026-05-07 09:00:00,email,False,,False,
60,1,723,50150310,dormant_users,2026-05-08 12:00:00,in_app,False,,False,
61,1,290,50150310,dormant_users,2026-05-07 18:00:00,in_app,True,2026-05-07 19:37:00,False,
62,1,847,50150310,dormant_users,2026-05-10 14:00:00,push,False,,False,
63,1,829,50150310,dormant_users,2026-05-06 09:00:00,push,False,,False,
64,1,738,50150310,dormant_users,2026-05-12 09:00:00,email,False,,False,
65,1,487,50150310,dormant_users,2026-05-11 19:00:00,in_app,False,,False,
66,1,611,50150310,dormant_users,2026-05-06 15:00:00,push,False,,False,
67,1,199,50150310,dormant_users,2026-05-12 10:00:00,push,False,,False,
68,1,939,50150310,dormant_users,2026-05-07 20:00:00,push,False,,False,
69,1,963,50150310,dormant_users,2026-05-11 13:00:00,push,False,,False,
70,1,447,50150310,dormant_users,2026-05-09 12:00:00,push,True,2026-05-09 14:27:00,False,
71,1,787,50150310,dormant_users,2026-05-08 19:00:00,in_app,False,,False,
72,1,550,50150310,dormant_users,2026-05-09 14:00:00,in_app,True,2026-05-09 15:27:00,False,
73,1,711,50150310,dormant_users,2026-05-12 18:00:00,push,False,,False,
74,1,641,50150310,dormant_users,2026-05-08 15:00:00,in_app,True,2026-05-08 16:10:00,False,
75,1,639,50150310,dormant_users,2026-05-09 20:00:00,push,False,,False,
76,1,680,50150310,dormant_users,2026-05-12 10:00:00,push,False,,False,
77,1,271,50150310,dormant_users,2026-05-11 14:00:00,email,False,,False,
78,1,703,50150310,dormant_users,2026-05-07 16:00:00,in_app,False,,False,
79,1,874,50150310,dormant_users,2026-05-12 20:00:00,push,False,,False,
80,1,841,50150310,dormant_users,2026-05-12 10:00:00,email,False,,False,
81,1,535,50150310,dormant_users,2026-05-11 17:00:00,push,False,,False,
82,1,106,50150310,dormant_users,2026-05-12 09:00:00,email,False,,False,
83,1,766,50150310,dormant_users,2026-05-12 18:00:00,push,False,,False,
84,1,661,50150310,dormant_users,2026-05-08 11:00:00,email,False,,False,
85,1,159,50150310,dormant_users,2026-05-12 12:00:00,in_app,False,,False,
86,1,563,50150310,dormant_users,2026-05-07 10:00:00,in_app,False,,False,
87,1,836,50150310,dormant_users,2026-05-12 12:00:00,push,True,2026-05-12 13:49:00,False,
88,1,210,50150310,dormant_users,2026-05-07 12:00:00,push,False,,False,
89,1,638,50150310,dormant_users,2026-05-08 11:00:00,in_app,False,,False,
90,1,788,50150310,dormant_users,2026-05-08 19:00:00,in_app,False,,False,
91,1,229,50150310,dormant_users,2026-05-11 09:00:00,email,False,,False,
92,1,719,50150310,dormant_users,2026-05-08 19:00:00,push,False,,False,
93,1,5,50150310,dormant_users,2026-05-06 17:00:00,push,False,,False,
94,1,630,50150310,dormant_users,2026-05-11 18:00:00,in_app,False,,False,
95,1,653,50150310,dormant_users,2026-05-07 19:00:00,push,False,,False,
96,1,980,50150310,dormant_users,2026-05-05 13:00:00,push,False,,False,
97,1,398,50150310,dormant_users,2026-05-11 10:00:00,in_app,False,,False,
98,1,771,50150310,dormant_users,2026-05-10 17:00:00,in_app,False,,False,
99,1,182,50150310,dormant_users,2026-05-09 16:00:00,push,False,,False,
100,1,158,50150310,dormant_users,2026-05-07 12:00:00,push,False,,False,
101,1,28,50150310,dormant_users,2026-05-09 18:00:00,push,False,,False,
102,1,768,50150310,dormant_users,2026-05-12 10:00:00,in_app,False,,False,
103,1,232,50150310,dormant_users,2026-05-09 17:00:00,push,False,,False,
104,1,368,50150310,dormant_users,2026-05-08 10:00:00,push,False,,False,
105,1,601,50150310,dormant_users,2026-05-09 20:00:00,in_app,False,,False,
106,1,83,50150310,dormant_users,2026-05-09 12:00:00,push,False,,False,
107,1,378,50150310,dormant_users,2026-05-09 11:00:00,in_app,False,,False,
108,1,134,50150310,dormant_users,2026-05-06 13:00:00,in_app,False,,False,
109,1,265,50150310,dormant_users,2026-05-07 15:00:00,push,True,2026-05-07 16:27:00,False,
110,1,866,50150310,dormant_users,2026-05-09 13:00:00,email,False,,False,
111,1,889,50150310,dormant_users,2026-05-12 11:00:00,email,False,,False,
112,1,972,50150310,dormant_users,2026-05-09 19:00:00,push,False,,False,
113,1,671,50150310,dormant_users,2026-05-08 10:00:00,email,False,,False,
114,1,596,50150310,dormant_users,2026-05-12 10:00:00,push,False,,False,
115,1,527,50150310,dormant_users,2026-05-09 12:00:00,push,False,,False,
116,1,635,50150310,dormant_users,2026-05-10 16:00:00,push,False,,False,
117,1,995,50150310,dormant_users,2026-05-05 15:00:00,push,False,,False,
118,1,654,50150310,dormant_users,2026-05-12 16:00:00,in_app,False,,False,
119,1,746,50150310,dormant_users,2026-05-09 15:00:00,push,False,,False,
120,1,551,50150310,dormant_users,2026-05-08 16:00:00,push,True,2026-05-08 17:35:00,False,
121,1,306,50150310,dormant_users,2026-05-11 15:00:00,push,False,,False,
