source_year,taxi_zone_id,month,weekday,hour,dropoff_count,passenger_count_sum,avg_trip_distance
2025,1,7,0,0,3,3,20.22
2025,1,7,0,1,2,2,17.195
2025,1,7,0,2,4,7,19.04
2025,1,7,0,3,9,17,16.207
2025,1,7,0,4,28,46,14.409
2025,1,7,0,5,35,62,16.561
2025,1,7,0,6,26,40,16.832
2025,1,7,0,7,35,63,17.793
2025,1,7,0,8,56,104,16.763
2025,1,7,0,9,47,77,17.181
2025,1,7,0,10,53,105,18.055
2025,1,7,0,11,56,103,17.145
2025,1,7,0,12,61,122,17.361
2025,1,7,0,13,69,125,16.595
2025,1,7,0,14,87,135,17.229
2025,1,7,0,15,62,112,16.962
2025,1,7,0,16,56,100,17.728
2025,1,7,0,17,61,104,17.131
2025,1,7,0,18,56,111,16.285
2025,1,7,0,19,24,34,19.425
2025,1,7,0,20,15,31,21.301
2025,1,7,0,21,9,13,19.472
2025,1,7,0,22,3,6,19.83
2025,1,7,0,23,2,2,24.555
2025,1,7,1,0,3,3,29.077
2025,1,7,1,1,1,1,32.5
2025,1,7,1,2,1,1,30.05
2025,1,7,1,3,8,14,18.965
2025,1,7,1,4,30,43,17.776
2025,1,7,1,5,31,55,16.117
2025,1,7,1,6,41,92,15.888
2025,1,7,1,7,45,85,18.063
2025,1,7,1,8,51,81,18.379
2025,1,7,1,9,39,70,16.568
2025,1,7,1,10,45,73,17.348
2025,1,7,1,11,61,91,18.377
2025,1,7,1,12,76,113,16.695
2025,1,7,1,13,97,170,16.296
2025,1,7,1,14,105,160,17.245
2025,1,7,1,15,95,173,17.348
2025,1,7,1,16,98,147,15.43
2025,1,7,1,17,65,92,13.868
2025,1,7,1,18,86,145,17.8
2025,1,7,1,19,58,93,15.149
2025,1,7,1,20,22,39,20.813
2025,1,7,1,21,12,17,19.391
2025,1,7,1,22,11,14,22.168
2025,1,7,1,23,5,5,20.862
2025,1,7,2,0,3,4,29.593
2025,1,7,2,1,4,5,32.82
2025,1,7,2,2,6,6,34.243
2025,1,7,2,3,8,11,19.982
2025,1,7,2,4,27,35,15.757
2025,1,7,2,5,45,76,17.592
2025,1,7,2,6,47,77,17.539
2025,1,7,2,7,39,62,17.335
2025,1,7,2,8,58,95,16.811
2025,1,7,2,9,58,109,18.577
2025,1,7,2,10,45,73,16.017
2025,1,7,2,11,70,121,16.738
2025,1,7,2,12,73,119,16.793
2025,1,7,2,13,88,148,17.614
2025,1,7,2,14,100,162,17.544
2025,1,7,2,15,109,173,16.965
2025,1,7,2,16,94,158,16.132
2025,1,7,2,17,101,148,14.358
2025,1,7,2,18,89,125,15.686
2025,1,7,2,19,51,72,18.745
2025,1,7,2,20,34,39,17.7
2025,1,7,2,21,9,18,17.149
2025,1,7,2,22,5,9,21.706
2025,1,7,2,23,5,6,23.694
2025,1,7,3,0,5,7,25.44
2025,1,7,3,1,2,4,36.04
2025,1,7,3,2,1,1,15.28
2025,1,7,3,3,6,5,14.75
2025,1,7,3,4,25,39,16.168
2025,1,7,3,5,44,64,16.215
2025,1,7,3,6,38,51,16.956
2025,1,7,3,7,51,79,17.402
2025,1,7,3,8,53,92,17.604
2025,1,7,3,9,58,89,16.294
2025,1,7,3,10,58,89,18.057
2025,1,7,3,11,64,97,17.508
2025,1,7,3,12,74,108,17.316
2025,1,7,3,13,100,162,16.928
2025,1,7,3,14,111,173,17.477
2025,1,7,3,15,148,212,16.283
2025,1,7,3,16,131,184,15.267
2025,1,7,3,17,123,153,13.548
2025,1,7,3,18,115,169,14.877
2025,1,7,3,19,80,94,16.881
2025,1,7,3,20,40,65,16.896
2025,1,7,3,21,12,22,11.252
2025,1,7,3,22,7,14,25.804
2025,1,7,3,23,3,3,13.733
2025,1,7,4,0,2,2,37.605
2025,1,7,4,1,2,3,29.265
2025,1,7,4,2,9,17,17.782
2025,1,7,4,3,8,11,14.66
2025,1,7,4,4,17,22,16.395
2025,1,7,4,5,31,44,17.108
2025,1,7,4,6,36,55,16.074
2025,1,7,4,7,29,48,16.41
2025,1,7,4,8,41,72,16.697
2025,1,7,4,9,44,70,18.368
2025,1,7,4,10,43,70,16.088
2025,1,7,4,11,28,44,16.741
2025,1,7,4,12,40,54,18.776
2025,1,7,4,13,60,89,18.154
2025,1,7,4,14,67,115,15.969
2025,1,7,4,15,79,132,16.419
2025,1,7,4,16,51,75,16.395
2025,1,7,4,17,77,117,15.798
2025,1,7,4,18,45,78,15.812
2025,1,7,4,19,41,63,18.54
2025,1,7,4,20,12,15,19.622
2025,1,7,4,21,5,4,12.65
2025,1,7,4,22,3,4,18.817
2025,1,7,4,23,4,9,36.818
2025,1,7,5,0,1,2,31.64
2025,1,7,5,1,5,5,30.014
2025,1,7,5,2,11,19,24.579
2025,1,7,5,3,7,12,19.56
